Console,GameName,Review,Score,Score_Category
PC,Casino Inc. Review,mediocre,5,Low
PC,Vietcong Review,good,7,Medium
GC,Disney Sports Football Review,mediocre,5,Low
PS2,Gallop Racer 2003: A New Breed Review,mediocre,5,Low
PS2,4x4 Evolution Review,good,7,Medium
PC,1602 A.D. Review,good,7,Medium
PC,1503 A.D. Review,good,7,Medium
XBOX,Red Faction II Review,good,7,Medium
GC,Red Faction II Review,good,7,Medium
XBOX,World Racing Review,poor,4,Low
PS,Final Fantasy Origins Review,good,7,Medium
GC,Disney Sports Basketball Review,terrible,2,Very Low
GC,TransWorld Surf: Next Wave Review,good,7,Medium
PC,Pro Race Driver Review,good,7,Medium
GBA,MLB Slugfest 2004 Review,terrible,2,Very Low
GBA,Sonic Advance 2 Review,great,8,High
GC,Tom Clancy's Splinter Cell Review,great,8,High
PS2,Tom Clancy's Splinter Cell Review,great,8,High
XBOX,Marvel vs. Capcom 2 Review,fair,6,Medium
GC,Burnout 2: Point of Impact Review,great,8,High
PS2,Rayman 3: Hoodlum Havoc Review,good,7,Medium
PC,Rayman 3: Hoodlum Havoc Review,great,8,High
PC,New World Order Review,terrible,2,Very Low
GBA,Mega Man & Bass Review,good,7,Medium
XBOX,Black Stone: Magic and Steel Review,terrible,2,Very Low
PS2,Clock Tower 3 Review,good,7,Medium
XBOX,RLH Review,poor,4,Low
XBOX,Tao Feng: Fist of the Lotus Review,fair,6,Medium
XBOX,Batman: Dark Tomorrow Review,terrible,2,Very Low
GC,Def Jam Vendetta Review,great,8,High
PS2,Def Jam Vendetta Review,great,8,High
PC,The Omega Stone: Riddle of the Sphinx II Review,great,8,High
PS2,Auto Modellista Review,fair,6,Medium
GC,Superman: Shadow of Apokolips Review,fair,6,Medium
XBOX,State of Emergency Review,good,7,Medium
XBOX,Murakumo: Renegade Mech Pursuit Review,bad,3,Very Low
PS2,Grand Prix Challenge Review,good,7,Medium
PC,MVP Baseball 2003 Review,great,8,High
PS2,Amplitude Review,great,8,High
XBOX,UFC: Tapout 2 Review,fair,6,Medium
PC,Galactic Civilizations Review,great,8,High
PS,Dragon Ball Z Ultimate Battle 22 Review,abysmal,1,Very Low
XBOX,World Series Baseball 2K3 Review,superb,9,High
PS2,World Series Baseball 2K3 Review,great,8,High
PC,Delta Force: Black Hawk Down Review,mediocre,5,Low
PC,Tom Clancy's Rainbow Six 3: Raven Shield Review,great,8,High
PS2,Primal Review,good,7,Medium
XBOX,High Heat Major League Baseball 2004 Review,great,8,High
GC,The Sims Review,good,7,Medium
XBOX,The Sims Review,good,7,Medium
PC,Grom: Terror in Tibet Review,bad,3,Very Low
XBOX,Jurassic Park: Operation Genesis Review,good,7,Medium
PS2,Jurassic Park: Operation Genesis Review,good,7,Medium
PS2,Aero Elite: Combat Academy Review,fair,6,Medium
DC,Sword of the Berserk: Guts' Rage Review,good,7,Medium
GC,The Legend of Zelda: The Wind Waker Review,superb,9,High
PC,Jurassic Park: Operation Genesis Review,good,7,Medium
PS2,MVP Baseball 2003 Review,great,8,High
XBOX,MVP Baseball 2003 Review,good,7,Medium
PS2,MotoGP3 Review,great,8,High
PS2,WWE Crush Hour Review,mediocre,5,Low
GC,WWE Crush Hour Review,mediocre,5,Low
XBOX,Tony Hawk's Pro Skater 4 Review,superb,9,High
PC,High Heat Major League Baseball 2004 Review,fair,6,Medium
